hint1,hint2,hint3,answer,category,id
This annual film event received formal accreditation from FIAPF in 1995,"Held annually at Palais des Festivals et des Congrès, it began in 1946.","Alongside Venice and Berlin, it's part of Europe's three major film festivals.",Cannes Film Festival,Arts,Cannes_Film_Festival
Aristotle's Poetics classifies this literary mode separately from epic and lyrical poetry.,"The Greek root of this term originally meant ""deed"" or ""act.""",Comedy and tragedy are traditionally symbolized by two masks representing this genre.,Drama,Arts,Drama
"This artistic style originally was termed ""style Rocaille,"" meaning ""rock and shell.""","Originating in 1730s France, it spread widely through Austria, Germany, and even into Russia.","Known as Late Baroque, it used pastel colors, asymmetry, and elaborate frescoes suggesting motion.",Rococo,Arts,Rococo
Algernon Herbert coined this archaeological term in 1849 in reference to Stonehenge.,Structures described by this Greek-derived term mostly date from the Neolithic to Bronze Age.,Stonehenge is one prominent example of these large prehistoric stone monuments.,Megalith,Arts,Megalith
"This musical term derives from the Greek word melōidía, meaning ""singing"" or ""chanting.""",It typically consists of repeated phrases or motifs within a composition.,It is a line or tune perceived as the main voice over background accompaniment.,Melody,Arts,Melody
Members of this genus are highly toxic to domestic cats.,These flowering plants originate mostly from temperate regions of the Northern Hemisphere.,"This genus of herbaceous plants grows from bulbs, producing prominent flowers.",Lilium,Biology/Health Sciences,Lilium
This plant naturally contains mildly toxic erucic acid.,"Its Canadian-bred ""canola"" cultivar was specifically developed to minimize erucic acid content.",This yellow-flowering mustard-family crop is the world's third-largest vegetable oil source.,Rapeseed,Biology/Health Sciences,Rapeseed
It is explained by damage accumulation or by programmed internal biological processes.,"This process increases risk for Alzheimer's disease, diabetes, and cardiovascular issues.",This inevitable phenomenon describes the gradual physical and psychological changes experienced by organisms.,Aging (or ageing),Biology/Health Sciences,Ageing
Samuel Pepys described symptoms of this disorder after witnessing the Great Fire of London.,"Historically, this condition was known as ""shell shock"" and ""combat neurosis.""",This disorder is common among veterans and characterized by trauma-related flashbacks and nightmares.,Post-traumatic stress disorder (or PTSD),Biology/Health Sciences,Post-traumatic_stress_disorder
"In antiquity, this dye colored fabrics and leather across Carthage and West Asia.",This reddish substance fades gradually within one to three weeks after staining skin.,Mehndi designs are traditionally made using this reddish plant-based dye.,Henna,Biology/Health Sciences,Henna
Armagnac is one famous French type of this liquor traditionally aged in wooden barrels.,"Its fruit-based varieties are sometimes known as ""eau de vie.""",This distilled liquor is typically produced from wine and consumed as an after-dinner digestif.,Brandy,Everyday Life,Brandy
"Botanically, this term describes a plant lacking a woody stem.","In cooking, these leafy plant parts are distinct from spices.","American speakers typically pronounce this word by dropping the initial ""h.""",Herb,Everyday Life,Herb
"This sport featured obstacles once called ""burgles"" in the early 1800s.",It introduced the safer L-shaped barriers in 1935.,Events in it include the women's Olympic 100-meter and men's Olympic 110-meter.,Hurdling,Everyday Life,Hurdling
Activists argue incorrectly labeling these may cause bisexual erasure.,Civil unions legally recognize these in places without marriage equality.,Marriage equality allows couples of this type to marry legally.,same-sex relationships,Everyday Life,Same-sex_relationship
This object may be loaded to intentionally produce certain numerical results.,Varieties include polyhedral forms with numerals or symbols instead of pips.,"Traditional ones are cubes, randomly displaying integers between one and six.",Dice,Everyday Life,Dice
Founded in 1886 after the emperor left nearby Mount Entoto.,Headquarters of the African Union and UN Economic Commission for Africa.,"Capital and largest city of Ethiopia, meaning ""new flower"" in Amharic.",Addis Ababa,Geography,Addis_Ababa
Founded prominence under Sikandar Lodi; later became the Mughal capital under Babur and Akbar.,"Tourist sites include Agra Fort, built by Mughals; famous for its rich Mughlai cuisine.",Indian city on Yamuna River famous for the Taj Mahal monument built by Shah Jahan.,Agra,Geography,Agra
This country's vast Sudd swamp greatly restricts navigation along the Nile.,A 2011 referendum saw 98.8% of voters favor independence from Khartoum.,Capital Juba heads this world's youngest widely-recognized sovereign state.,South Sudan,Geography,South_Sudan
This waterway and the Dardanelles Strait together are called the Turkish Straits.,It divides Asia Minor from Thrace and separates Istanbul into two continents.,This narrow strait connects the Black Sea and the Sea of Marmara.,Bosporus Strait,Geography,Bosporus
"Its second-highest mountain, Khan Tengri, means ""Lord of the Spirits"" in Tengrism.","This mountain range includes Jengish Chokusu, which rises to approximately 7,439 meters.","Stretching across Central Asia, this ""Heavenly"" range's lowest point is the Turpan Depression.",Tian Shan,Geography,Tian_Shan
This science emerged from natural philosophy and early studies of Earth's materials.,James Hutton significantly contributed to its theory of uniformitarianism.,"This scientific field studies Earth's origin, structure, and geological history.",Geology,History,History_of_geology
Early sparks included the Cananea strike and the Plan of San Luis Potosí.,It ended Porfirio Díaz's presidency and saw Francisco Madero briefly assume power.,Pancho Villa and Emiliano Zapata fought prominently in this decade-long civil war.,Mexican Revolution,History,Mexican_Revolution
"It was called ""Naharin"" by Egyptians and ""Hanigalbat"" in Assyrian records.",Its territory extended from Lake Van southwards towards Tunip.,This Hurrian-speaking empire exhibited notable Indo-Aryan influences.,Mitanni,History,Mitanni
This field sometimes involves genetic analysis or oral interviews to demonstrate kinship.,Charts or narratives often display its findings about family history and lineage.,"Its results are commonly called a ""family tree.""",Genealogy,History,Genealogy
Its later years featured power struggles involving palace eunuchs and Taoist rebellions.,"Emperor Wu expanded its borders, conquering territory from the Xiongnu and establishing the Silk Road.",China's largest ethnicity and its primary writing system both derive their name from it.,Han Dynasty,History,Han_dynasty
