title,category
André_Gide,People
Frida_Kahlo,People
George_III,People
David_Attenborough,People
Nurhaci,People
Ed_Sullivan,People
Aretha_Franklin,People
Giuseppe_Verdi,People
Josip_Broz_Tito,People
Isaac_Asimov,People
George_Frideric_Handel,People
Leon_Festinger,People
Benedict_of_Nursia,People
Pompey,People
Charles_Aznavour,People
Charles_Perrault,People
Kabir,People
Peter_O'Toole,People
Fuzuli_(poet),People
Antonio_López_de_Santa_Anna,People
Bayinnaung,People
George_Eliot,People
Joseph_Smith,People
Satyajit_Ray,People
James_Madison,People
George_Orwell,People
Themistocles,People
Marcus_Aurelius,People
Maximilien_Robespierre,People
Lee_de_Forest,People
Pierre_Curie,People
Albert_Camus,People
Patanjali,People
Menander_I,People
William_James,People
Arthur_Conan_Doyle,People
Ulugh_Beg,People
Caroline_Herschel,People
Fritz_Haber,People
Luís_de_Camões,People
Joseph_Fourier,People
Gabriel_Fauré,People
Bob_Dylan,People
Nicolas_Léonard_Sadi_Carnot,People
Joe_Louis,People
Maria_Montessori,People
August_Strindberg,People
Rembrandt,People
Emile_Berliner,People
Jayavarman_VII,People
Decebalus,People
Walter_Lippmann,People
Erwin_Rommel,People
Svetlana_Alexievich,People
Pope_Urban_II,People
Johann_Sebastian_Bach,People
Saadi_Shirazi,People
Túpac_Amaru,People
W._G._Grace,People
Louis_the_Pious,People
Tamar_of_Georgia,People
Wilhelm_II,People
Nizam_al-Mulk,People
Ida_Lupino,People
Hammurabi,People
Nostradamus,People
Ravi_Shankar,People
Neil_Armstrong,People
Andy_Warhol,People
Johannes_Brahms,People
Antonio_José_de_Sucre,People
Simón_Bolívar,People
Puduḫepa,People
Yukio_Mishima,People
Trần_Thánh_Tông,People
José_Martí,People
Amelia_Earhart,People
Rani_of_Jhansi,People
Henri_Becquerel,People
Francis_of_Assisi,People
Nefertiti,People
Tecumseh,People
Thomas_Sankara,People
Bodhidharma,People
Ernest_Rutherford,People
Samuel_Beckett,People
Henry_Clay,People
W._E._B._Du_Bois,People
György_Ligeti,People
Sitting_Bull,People
Anna_Akhmatova,People
"Mary,_mother_of_Jesus",People
David_Lean,People
Osman_I,People
Fyodor_Dostoevsky,People
Le_Corbusier,People
Steve_Jobs,People
